description,date_acquired,date_sold,proceeds($),cost_basis($),gain_or_loss($),_hash,_description,_quantity,_cost($),_value($),_fees($),_eth_price($)
"","","9/16/2021","","","","0xa813361f8d688fa2a483b9fe8a7a5cd620d360cfc712bc8b295cd79b65eb6cb4","ff9.io (ff9.io) ","300,000","0","0","0","3399"
"","","9/27/2021","","","","0x3b542f9aa5240b74b43e30054363d01bf7f3d02e5a1bbe5a5435165d476fcae1","mint ticket","1","0.01","0","0.01","2928"
"","","9/28/2021","","","","0x999859c7fee426fb0eafc2424c3dd26fa2d18faa8ce1be76c482f018f1732684","mint","1","0","0","0","2851"
"","","9/28/2021","","","","0x9e2f598aa5cff1abb197d97ac2ac9ce9219b3227d360c5e614232b9213b29003","mint token","1","0","0","0","2851"
"","","9/29/2021","","","","0xc3a0a36189e263a44a69a982bb7999bd6eddc4c16c5f6862a1fe5818a0f30e9e","purchase token","1","0.88","0.63","0.25","2851"
"","","9/29/2021","","","","0x5d80fe059a75369a5b23d3ab662ee48422c331585a8a0df0a2804300dba63ac9","habbo avatars (habbo)  6583","1","0.58","0.58","0","2851"
"","","9/30/2021","","","","0xa950abca65e4693c6adff41e709f4fb02ba37d53db3cfcee14b63c52bece84e3","habbo avatars (habbo)  6585","1","0.9","0.9","0","3001"
"","","9/30/2021","","","","0x7737e335d210cf0ef2c1a011dc797273653056401908fef537387a385e4588d9","sale","1","0.34","0.23","0.12","3001"
"","","9/30/2021","","","","0xf6cb21521bd73b5fbb0ee4eec0ae989f2752741b63a72226998dec60d36aaf6e","0xeac1adfb","1","0.36","0.18","0.19","3001"
"","","9/30/2021","","","","0x291b139bb49c9e07639695bed491d8f8b0ef18ea3d398bdbc47905dffe4aff17","kbot_factory (kbots)  3930","1","0.05","0.05","0","3001"
"","","9/30/2021","","","","0x9cd742fc181c8f561492ddf4b608f7a8ddc58ff00d3df49cd1b85c0b4a85f3eb","kbot_factory (kbots)  3929","1","0.05","0.05","0","3001"
"","","9/30/2021","","","","0x23c04aaa45e3053f48430a2f85659006995e97c3baa8d97ddba3ae3b2fd57743","kbot_factory (kbots)  3931","1","0.06","0.06","0","3001"
"","","9/30/2021","","","","0x840971e4713ff700a92302145f67ea55e50f1ebcfbcca9700f5c9c5a20ea3a4c","kbot_factory (kbots)  3932","1","0.06","0.06","0","3001"
"","","9/30/2021","","","","0x7f445a317d04595bd066ac169134c788aad345b571cdc0c1b65f4353d2f38b48","yakuza cats society (ycs)  2859","1","0.2","0.2","0","3001"
