"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3039.09/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x7112608c987785481f07c7a1b898d987f585abc83db125f5c37627cd80fa995a","13322862","1632948016","2021-09-29 20:40:16","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0.03","0","91.1727","0.00168","5.1056712","2850.87","","","Transfer",""
"0xc6f670fd73d1e6bf22bb9a83ea8f4faf8f3eb47d941ca1788048a93852b97e70","13354335","1633373298","2021-10-04 18:48:18","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0","0","0","0.00189","5.7438801","3384.50","","","Transfer",""
"0x70fe953698fae4fc0790d301af2b1bb19a6707694a677684f3ea65bb18747d13","13354347","1633373455","2021-10-04 18:50:55","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0.5","0","1519.545","0.00189","5.7438801","3384.50","","","Transfer",""
"0x5d6431c0076ffa693d09fc57474769e44bed64ed21b252318d35f913a71e3900","13388793","1633840227","2021-10-10 04:30:27","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.23394295","710.9736799155","3416.49","","","Get Bamboozled",""
"0x30087fc1ea6113368c811a6622875b5ad9a1c29339de9f337be6b1b56912eae0","13388865","1633840965","2021-10-10 04:42:45","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","0xaa6612f03443517ced2bdcf27958c22353ceeab9","","0","0","0","0.00779364","23.6855733876","3416.49","","","Transfer From",""
"0xa7f21750d6e8f43c7c71a23c3366c077204ff9ab2eac8564d51e9f1129d21167","13452709","1634706997","2021-10-20 05:16:37","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","3.42","0","10393.6878","0.001155","3.51014895","4162.49","","","Transfer",""
"0x43f286e68287bf91142a14f734dabe6c1d790a5f1869a4b0848ff1e1bb4d3219","13452715","1634707046","2021-10-20 05:17:26","0x1d52798dcad378582ce1f5fc6607f1bb070dce40","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0.728","0","2212.45752","0.00105","3.1910445","4162.49","","","Transfer",""
"0x26c2966cd51cc271a9f934bc3c41c3ecc82cc83691fc40e1553c31649cb0b06f","13452727","1634707286","2021-10-20 05:21:26","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0.38","0","1154.8542","0.001134","3.44632806","4162.49","","","Transfer",""
"0x81e51213e2eaf2c297eabc2f534ed3ec78d9d9dfb9d588f4d27c16455cdb9c68","13464273","1634862618","2021-10-22 00:30:18","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","0xc6ca0c797b7b3028d3ae3e94d43a8b124cb114a7","","0","0.9","2735.181","0.3272032","994.399973088","3971.95","","","Buy Batch",""
"0xe740bf3abcec4ace582c684ae7f9fda558a38dd4291028984b84c4838c6aa74d","13464334","1634863522","2021-10-22 00:45:22","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","0xa5409ec958c83c3f309868babaca7c86dcb077c1","","0","0","0","0.058186511639931672","176.8340456598","3971.95","","","Register Proxy",""
