"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3035.35/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0x26d6333ad0fac1bb0994752eb82c41a48febadc8731ba530d78ccbc2f20a89f8","13239582","1631832837","2021-09-16 22:53:57","0x3cd751e6b0078be393132286c442345e5dc49699","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","","3","0","9106.05","0.001426709277987","4.33056200693784","3569.26","","","Transfer",""
"0x53249efe656aaa73a1a61e89599ce7d9d786be90ec656391aaa7d8331c19ef8e","13241486","1631858298","2021-09-17 05:58:18","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f","","0","1.95","5918.9325","0.00921052","27.957151882","3398.82","","","Place Bid",""
"0x3b665056808a060ba6cd2bf2202bf219c71db9e1513819f4ee1dda69c0410334","13241515","1631858670","2021-09-17 06:04:30","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f","","0","0.09","273.1815","0.00373856","11.347838096","3398.82","","","Place Bid",""
"0x2770a9e2d490c80c1f3980eba8506496ef677a14470cb2d0f2e774ce021092f8","13241531","1631858903","2021-09-17 06:08:23","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f","","0","0.06","182.121","0.00327124","9.929358334","3398.82","","","Place Bid",""
"0x2df941a516310e321f7e066265eed9d8306135e4a241eebcd2175c4ec6889c7d","13241535","1631858932","2021-09-17 06:08:52","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f","","0","0.09","273.1815","0.002086893538851708","6.33445230315353","3398.82","Error(0)","Reverted","Place Bid",""
"0x9b22ad4ee4b16b0cecb3d215ab08694185572dc1dc57ff1bf3066733879666b1","13241543","1631859046","2021-09-17 06:10:46","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xb42a79c03c67c6fae729f1e8faf20bbb0192a46f","","0","0.15","455.3025","0.00327124","9.929358334","3398.82","","","Place Bid",""
"0x3b542f9aa5240b74b43e30054363d01bf7f3d02e5a1bbe5a5435165d476fcae1","13309600","1632769314","2021-09-27 19:01:54","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xfb7d186e24e128be1f1339fb9c2ba6fdbd87c6f9","","0","0","0","0.01244803","37.7841278605","2927.73","","","Mint Ticket",""
"0x999859c7fee426fb0eafc2424c3dd26fa2d18faa8ce1be76c482f018f1732684","13317579","1632876598","2021-09-29 00:49:58","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xd26e223018bfd1d5230416dafceaef1db0b092da","","0","0","0","0.004752597513701544","14.425796863214","2850.87","","","Mint",""
"0x9e2f598aa5cff1abb197d97ac2ac9ce9219b3227d360c5e614232b9213b29003","13319015","1632895870","2021-09-29 06:11:10","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x9cc26d6c68af6c7b7316dea943f059441a54d68a","","0","0","0","0.00469272","14.244047652","2850.87","","","Mint Token",""
"0xc3a0a36189e263a44a69a982bb7999bd6eddc4c16c5f6862a1fe5818a0f30e9e","13321692","1632932154","2021-09-29 16:15:54","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x8a1bbef259b00ced668a8c69e50d92619c672176","","0","0.63","1912.2705","0.2474705","751.159582175","2850.87","","","Purchase Token",""
"0x03303ff7302eb1bf738c2e5c286da2d54f4cfd145dd5e6a2c873eb8f2e22aa2f","13322331","1632940655","2021-09-29 18:37:35","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa5409ec958c83c3f309868babaca7c86dcb077c1","","0","0","0","0.0397602","120.68612307","2850.87","","","Register Proxy",""
"0x6773561ab5a6af718f0bcdb4a72cf507af9bf360203e79000e273d6668d10add","13322344","1632940817","2021-09-29 18:40:17","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xa5409ec958c83c3f309868babaca7c86dcb077c1","","0","0","0","0.0023707","7.195904245","2850.87","Error(0)","Reverted","Register Proxy",""
"0x7df0b0d4b26c98e18543893637a1220e86a3cd83fafe84ca1e7778c74de73db0","13322365","1632941097","2021-09-29 18:44:57","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x8a1bbef259b00ced668a8c69e50d92619c672176","","0","0","0","0.003990504465544475","12.1125777294904","2850.87","","","Set Approval For All",""
"0x7112608c987785481f07c7a1b898d987f585abc83db125f5c37627cd80fa995a","13322862","1632948016","2021-09-29 20:40:16","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0","0.03","91.0605","0.00168","5.099388","2850.87","","","Transfer",""
"0x0a8e5806d5f606bd2342c77463e626b47de4a568b695883adcc8cdedb2a561be","13325419","1632982116","2021-09-30 06:08:36","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.003582703704887034","10.8747596906289","3000.83","Error(0)","Out of gas","Cancel Order_",""
"0x61b46e6bcb683271383189bdab86f1607cb1d13a7c1438fc1bd99d34e4d140cb","13325427","1632982194","2021-09-30 06:09:54","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x7be8076f4ea4a4ad08075c2508e481d6c946d12b","","0","0","0","0.00412357","12.5164781995","3000.83","","","Cancel Order_",""
"0x7737e335d210cf0ef2c1a011dc797273653056401908fef537387a385e4588d9","13329328","1633035255","2021-09-30 20:54:15","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0x454cbc099079dc38b145e37e982e524af3279c44","","0","0.22704525","689.1617995875","0.1159992","352.09817172","3000.83","","","Sale",""
