"Txhash","Blockno","UnixTimestamp","DateTime","From","To","ContractAddress","Value_IN(ETH)","Value_OUT(ETH)","CurrentValue @ $3037.63/Eth","TxnFee(ETH)","TxnFee(USD)","Historical $Price/Eth","Status","ErrCode","Method"
"0xf1d449be773254de53e87c59ee60ff87d1d7fd7f6090bb8410f64b25a9fe42e9","13367689","1633553586","2021-10-06 20:53:06","0x743fc8ba2a5e435b376bd2a7ee5c95b470c85c2d","0xc73790870f422350096ef0c19b06df1c0060d3ca","","0.49","0","1488.4387","0.00315","9.5685345","3576.08","","","Transfer",""
"0x4afcbbd6353d742634df688914597531fa997785f2a54d3b3ffbf20bc94a8087","13425325","1634337003","2021-10-15 22:30:03","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x7e6bc952d4b4bd814853301bee48e99891424de0","","0","0.21","637.9023","0.00225281396331745","6.84321527939199","3868.16","Error(0)","Reverted","Mint",""
"0xf69577422e451fdcdbc0af7e2e1b9155e57a73cf41f6c5616644d138f45f40ec","13452691","1634706755","2021-10-20 05:12:35","0xc73790870f422350096ef0c19b06df1c0060d3ca","0xf850380c7e9a11e5a1ee65a4c24947de2286524f","","0","0.1","303.763","0.00231","7.0169253","4162.49","","","Transfer",""
"0x26c2966cd51cc271a9f934bc3c41c3ecc82cc83691fc40e1553c31649cb0b06f","13452727","1634707286","2021-10-20 05:21:26","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","","0","0.38","1154.2994","0.001134","3.44467242","4162.49","","","Transfer",""
"0xdd7482307b6dfa423892bc8b8728086848582a45d976cdb7fbe5e132fef02ff1","13692962","1637974034","2021-11-27 00:47:14","0x6ce34081d4efc4b7e10b776f618b5e6ad96370f0","0xc73790870f422350096ef0c19b06df1c0060d3ca","","1.92","0","5832.2496","0.001575","4.78426725","4100.30","","","Transfer",""
"0x70ef7a3451a07d120115275835de09a3b902f40f7780638a2e3d01a10a40e039","13693283","1637978426","2021-11-27 02:00:26","0xc73790870f422350096ef0c19b06df1c0060d3ca","0xc6ec80029cd2aa4b0021ceb11248c07b25d2de34","","0","0.2499999999998","759.407499999392","0.019413","58.96951119","4100.30","Error(0)","Reverted","Mint Public",""
"0x1ae24955528021e5153ebb276161923693cde407212bd7693cee74e566488264","13724423","1638407517","2021-12-02 01:11:57","0xc73790870f422350096ef0c19b06df1c0060d3ca","0xc73790870f422350096ef0c19b06df1c0060d3ca","","0","0","0","0.008085","24.55923855","4514.80","","","Transfer",""
"0xa9e9f1fb22b3f2ea594a64d0b2054037bae1f1fc3b47d5876ecfb284cdd157fa","13745953","1638705758","2021-12-05 12:02:38","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x838804a3dd7c717396a68f94e736eaf76b911632","","0","0.07","212.6341","0.016081","48.84812803","4201.09","Error(0)","Reverted","Public Mint",""
"0x5d203f461a7625b8e20b038155ba6f906307e9583cd5b2b64d3ef940b96e0a7a","13753336","1638808014","2021-12-06 16:26:54","0xc73790870f422350096ef0c19b06df1c0060d3ca","0xe592427a0aece92de3edee1f18e0157c05861564","","0","0.92","2794.6196","0.014521804648377595","44.1118694540512","4357.17","","","0x414bf389",""
"0x4b5b0c83ec0b515596f43ae665c535d3c7b6239f99247c5044ae816fe24ba909","13753365","1638808504","2021-12-06 16:35:04","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x15d4c048f83bd7e37d49ea4c83a07267ec4203da","","0","0","0","0.006268556","19.04155376228","4357.17","","","Transfer",""
"0xda8eca2f0edac9d27e07fab2e08d69a72b1aa1c48b9905094929ffed571e7d38","13754168","1638819425","2021-12-06 19:37:05","0xc73790870f422350096ef0c19b06df1c0060d3ca","0x96583298a7d2c1e623b52033e4fb40f63e5664bd","","0","1.039849825388304955","3158.67902509428","0.002394","7.27208622","4357.17","","","Transfer",""
